Year,Week,VHI,Province_ID,Province_Name
1985,32,40.31,21,Хмельницька
1985,33,36.84,21,Хмельницька
1985,34,33.94,21,Хмельницька
1985,35,33.6,21,Хмельницька
1985,36,35.9,21,Хмельницька
1985,37,37.99,21,Хмельницька
1985,38,38.21,21,Хмельницька
1985,39,39.67,21,Хмельницька
1985,40,40.36,21,Хмельницька
1985,41,39.49,21,Хмельницька
1985,42,40.07,21,Хмельницька
1985,43,38.79,21,Хмельницька
1985,44,36.11,21,Хмельницька
1985,45,35.25,21,Хмельницька
1985,46,36.49,21,Хмельницька
1985,47,35.61,21,Хмельницька
1985,48,37.25,21,Хмельницька
1985,49,39.66,21,Хмельницька
1985,50,42.42,21,Хмельницька
1985,51,44.23,21,Хмельницька
1985,52,46.37,21,Хмельницька
1986,1,47.49,21,Хмельницька
1986,2,47.65,21,Хмельницька
1986,3,46.45,21,Хмельницька
1986,4,44.0,21,Хмельницька
1986,5,43.45,21,Хмельницька
1986,6,42.67,21,Хмельницька
1986,7,41.57,21,Хмельницька
1986,8,40.82,21,Хмельницька
1986,9,41.07,21,Хмельницька
1986,10,39.32,21,Хмельницька
1986,11,37.01,21,Хмельницька
1986,12,34.98,21,Хмельницька
1986,13,32.47,21,Хмельницька
1986,14,31.73,21,Хмельницька
1986,15,28.95,21,Хмельницька
1986,16,28.77,21,Хмельницька
1986,17,30.77,21,Хмельницька
1986,18,33.74,21,Хмельницька
1986,19,35.19,21,Хмельницька
1986,20,35.24,21,Хмельницька
1986,21,35.4,21,Хмельницька
1986,22,36.32,21,Хмельницька
1986,23,35.74,21,Хмельницька
1986,24,35.18,21,Хмельницька
1986,25,34.37,21,Хмельницька
1986,26,34.09,21,Хмельницька
1986,27,35.08,21,Хмельницька
1986,28,34.33,21,Хмельницька
1986,29,33.54,21,Хмельницька
1986,30,33.69,21,Хмельницька
1986,31,32.7,21,Хмельницька
1986,32,34.63,21,Хмельницька
1986,33,34.31,21,Хмельницька
1986,34,35.56,21,Хмельницька
1986,35,37.02,21,Хмельницька
1986,36,38.3,21,Хмельницька
1986,37,39.99,21,Хмельницька
1986,38,40.04,21,Хмельницька
1986,39,40.3,21,Хмельницька
1986,40,39.46,21,Хмельницька
1986,41,35.11,21,Хмельницька
1986,42,31.83,21,Хмельницька
1986,43,32.6,21,Хмельницька
1986,44,30.47,21,Хмельницька
1986,45,24.6,21,Хмельницька
1986,46,21.86,21,Хмельницька
1986,47,22.84,21,Хмельницька
1986,48,26.04,21,Хмельницька
1986,49,31.28,21,Хмельницька
1986,50,35.85,21,Хмельницька
1986,51,39.25,21,Хмельницька
1986,52,43.82,21,Хмельницька
1987,1,47.26,21,Хмельницька
1987,2,50.09,21,Хмельницька
1987,3,51.14,21,Хмельницька
1987,4,49.75,21,Хмельницька
1987,5,47.02,21,Хмельницька
1987,6,45.64,21,Хмельницька
1987,7,45.16,21,Хмельницька
1987,8,46.03,21,Хмельницька
1987,9,48.2,21,Хмельницька
1987,10,48.62,21,Хмельницька
1987,11,47.34,21,Хмельницька
1987,12,46.04,21,Хмельницька
1987,13,45.97,21,Хмельницька
1987,14,46.7,21,Хмельницька
1987,15,47.87,21,Хмельницька
1987,16,47.36,21,Хмельницька
1987,17,44.33,21,Хмельницька
1987,18,42.41,21,Хмельницька
1987,19,43.11,21,Хмельницька
1987,20,41.67,21,Хмельницька
1987,21,39.27,21,Хмельницька
